driverId,name,ssn,location,certified,wage-plan
10,Jorge Wright,512-61-3485,"539 James Fall
Cordovafort, IA 07135",N,miles
11,John Morris,231-32-9894,"87141 Keller Ridge Suite 716
North Austinton, MI 05891",Y,hours
12,Morgan Mccullough,048-50-4204,"009 Lambert Square Suite 965
West John, NY 59417",Y,hours
13,Makayla Williams,079-35-8836,"073 Charles River
Hahnport, AR 93772",Y,hours
14,Johnathan Rodriguez,726-87-3676,"996 Mack Ville
Port Eric, VA 80156",N,miles
15,Elizabeth Simon,736-27-4483,"60326 Pennington Lake Apt. 309
Laurenside, PA 84741",N,hours
16,Lori Smith,795-55-6091,"725 Kimberly Point Apt. 980
Port Vanessa, ME 16028",N,hours
17,Judy Rodriguez,425-85-5990,"175 Madison Plains
Robertsonbury, NH 40879",N,miles
18,Caitlin Johnson,174-43-5246,"5160 Brandon Expressway
Morrisonport, SC 36031",Y,miles
19,Raymond Guerra,195-28-8344,"PSC 8892, Box 7565
APO AP 25217",N,miles
20,Samuel Baker DVM,145-67-6386,"32947 Tracy Wall
Lake Maria, MA 72948",Y,hours
21,Carolyn Coleman,194-49-6395,"3078 Danielle Parks
Thompsonport, DC 08177",Y,hours
22,John Rogers,474-41-1107,"USCGC Jimenez
FPO AE 84968",Y,miles
23,Christopher Williams,740-33-8507,"445 Burns Gardens Apt. 505
Lake Christopherfurt, ND 81226",Y,miles
24,Vincent Green,658-33-7484,"155 Smith Burg
Payneburgh, TN 83436",Y,miles
25,Alexander Jones,139-76-3844,"68260 Joel Estates Suite 917
Davismouth, MA 38939",Y,miles
26,Leah Grant,786-78-1569,"1164 Joel Street
West Christinamouth, WV 20570",Y,hours
27,Matthew Ferguson,684-43-4828,"85639 Susan View Apt. 774
East Henryland, ME 61909",Y,miles
28,Colleen Kline,001-07-0885,"PSC 3958, Box 4973
APO AP 45053",Y,miles
29,Yvonne Cruz,320-33-3864,"53414 Miguel Underpass
Williamton, AL 51090",Y,miles
30,Christopher James,863-29-2469,"35677 Bryant Spur
Brownside, SD 40159",N,hours
31,George Thomas,335-77-6324,"46649 Johnson Course
Thompsonville, NJ 17569",Y,hours
32,William Ortega,334-59-3577,"824 Mitchell Harbor
New Amyfort, OR 34346",Y,miles
33,Michael Smith,888-77-8945,"61115 Chambers Mill Suite 290
Jasonstad, MI 13791",N,hours
34,John Gomez,578-88-1838,"PSC 5632, Box 2213
APO AA 69668",N,hours
35,Monica Hancock,504-01-6861,"8272 Carol Spurs Apt. 587
South Matthew, IN 99161",N,miles
36,Amanda Joseph,188-82-2600,"480 Sims Lights
West Michaelville, MS 88112",N,miles
37,Donald Hill,289-48-2249,"2590 Hancock Park Suite 124
Tammychester, PA 46259",Y,miles
38,Jessica Luna,135-66-1866,"0731 Villanueva Fords
Huffmantown, OK 81483",Y,hours
39,Alicia Lynch,538-83-9906,"13850 David Locks Apt. 124
West Danielborough, NY 07289",N,hours
40,Joseph Boyd,723-94-8156,"90038 Franklin Drive Suite 586
Derrickmouth, NM 94328",Y,hours
41,Sue Martin PhD,397-98-8435,"40225 Kelly Causeway
Port Davidland, DE 36120",N,hours
42,Brett Kirk,390-75-2351,"366 Rogers Mills Apt. 047
Port Michael, PW 51443",N,hours
43,Melissa Roberts,822-45-3274,"53832 Lori Extensions Apt. 110
South Amandahaven, NY 63929",N,miles
44,Thomas Hicks,515-13-2298,"USCGC Steele
FPO AP 68568",N,miles
45,Maria Knight,672-70-7335,"8937 Ramsey Course
New Danielport, GU 89173",Y,miles
